天书奇谭,1983(中国大陆),9.2,195107人评价
哈利·波特与密室,2002,8.7,547658人评价
告白,2010,8.7,588604人评价
大鱼,2003,8.8,479756人评价
阳光姐妹淘,2011,8.8,518587人评价
射雕英雄传之东成西就,1993,8.7,538958人评价
怪兽电力公司,2001,8.7,546231人评价
恐怖直播,2013,8.7,540297人评价
神偷奶爸,2010,8.6,805844人评价
时空恋旅人,2013,8.8,494371人评价
玩具总动员3,2010,8.9,421014人评价
傲慢与偏见,2005,8.7,648869人评价
教父3,1990,9.0,294616人评价
釜山行,2016,8.6,975514人评价
哪吒闹海,1979,9.1,209931人评价
血战钢锯岭,2016,8.7,664115人评价
一个叫欧维的男人决定去死,2015,8.9,348459人评价
被解救的姜戈,2012,8.8,501380人评价
七武士,1954,9.3,159481人评价
未麻的部屋,1997,9.0,244231人评价
我是山姆,2001,9.0,264300人评价
喜宴,1993,8.9,283828人评价
头号玩家,2018,8.7,1148881人评价
电锯惊魂,2004,8.7,432193人评价
风之谷,1984,8.9,309547人评价
上帝之城,2002,9.0,258312人评价
英雄本色,1986,8.7,432985人评价
卢旺达饭店,2004,8.9,262016人评价
新世界,2013,8.9,307138人评价
三块广告牌,2017,8.7,692317人评价
疯狂原始人,2013,8.7,719460人评价
谍影重重3,2007,8.8,355254人评价
模仿游戏,2014,8.7,512500人评价
花样年华,2000,8.7,481855人评价
黑客帝国3：矩阵革命,2003,8.8,358632人评价
纵横四海,1991,8.8,342973人评价
达拉斯买家俱乐部,2013,8.8,374398人评价
头脑特工队,2015,8.7,494423人评价
岁月神偷,2010,8.7,506831人评价
心迷宫,2014,8.7,415241人评价
你的名字。,2016,8.4,1150391人评价
寄生虫,2019,8.8,1139321人评价
记忆碎片,2000,8.7,513640人评价
忠犬八公物语,1987,9.2,159352人评价
荒蛮故事,2014,8.8,359618人评价
海街日记,2015,8.8,354470人评价
惊魂记,1960,9.0,214164人评价
爆裂鼓手,2014,8.7,471790人评价
真爱至上,2003,8.6,605888人评价
贫民窟的百万富翁,2008,8.6,636395人评价
哈利·波特与火焰杯,2005,8.7,473539人评价
东邪西毒,1994,8.6,492659人评价
